nodeID,H,T,seizoen,methode
277,-5.446,25,geheel jaar,Gumbel fit
277,-5.446,50,geheel jaar,Gumbel fit
277,-5.446,100,geheel jaar,Gumbel fit
114,-5.692,10,geheel jaar,gewogen gemiddelde
114,-5.73,10,alleen zomer,gewogen gemiddelde
114,-5.743,10,alleen zomer,Gumbel fit
114,-5.661,10,geheel jaar,Gumbel fit
114,-5.604,25,geheel jaar,Gumbel fit
114,-5.561,50,geheel jaar,Gumbel fit
114,-5.517,100,geheel jaar,Gumbel fit
83,-5.692,10,geheel jaar,gewogen gemiddelde
83,-5.73,10,alleen zomer,gewogen gemiddelde
83,-5.743,10,alleen zomer,Gumbel fit
83,-5.661,10,geheel jaar,Gumbel fit
83,-5.604,25,geheel jaar,Gumbel fit
83,-5.561,50,geheel jaar,Gumbel fit
83,-5.517,100,geheel jaar,Gumbel fit
711,-5.676,10,geheel jaar,gewogen gemiddelde
711,-5.71,10,alleen zomer,gewogen gemiddelde
711,-5.723,10,alleen zomer,Gumbel fit
711,-5.65,10,geheel jaar,Gumbel fit
711,-5.595,25,geheel jaar,Gumbel fit
711,-5.554,50,geheel jaar,Gumbel fit
711,-5.513,100,geheel jaar,Gumbel fit
285,-5.635,10,geheel jaar,gewogen gemiddelde
285,-5.666,10,alleen zomer,gewogen gemiddelde
285,-5.676,10,alleen zomer,Gumbel fit
285,-5.622,10,geheel jaar,Gumbel fit
285,-5.577,25,geheel jaar,Gumbel fit
285,-5.542,50,geheel jaar,Gumbel fit
285,-5.508,100,geheel jaar,Gumbel fit
287,-5.635,10,geheel jaar,gewogen gemiddelde
287,-5.666,10,alleen zomer,gewogen gemiddelde
287,-5.676,10,alleen zomer,Gumbel fit
287,-5.622,10,geheel jaar,Gumbel fit
287,-5.577,25,geheel jaar,Gumbel fit
287,-5.542,50,geheel jaar,Gumbel fit
287,-5.508,100,geheel jaar,Gumbel fit
92,-3.019,10,geheel jaar,gewogen gemiddelde
92,-3.044,10,alleen zomer,gewogen gemiddelde
92,-3.044,10,alleen zomer,Gumbel fit
92,-3.005,10,geheel jaar,Gumbel fit
92,-2.979,25,geheel jaar,Gumbel fit
92,-2.96,50,geheel jaar,Gumbel fit
92,-2.94,100,geheel jaar,Gumbel fit
rp41,-5.427,10,geheel jaar,gewogen gemiddelde
rp41,-5.493,10,alleen zomer,gewogen gemiddelde
rp41,-5.468,10,alleen zomer,Gumbel fit
rp41,-5.394,10,geheel jaar,Gumbel fit
rp41,-5.349,25,geheel jaar,Gumbel fit
rp41,-5.315,50,geheel jaar,Gumbel fit
rp41,-5.28,100,geheel jaar,Gumbel fit
294,-3.135,10,geheel jaar,gewogen gemiddelde
294,-3.153,10,alleen zomer,gewogen gemiddelde
294,-3.151,10,alleen zomer,Gumbel fit
294,-3.127,10,geheel jaar,Gumbel fit
294,-3.106,25,geheel jaar,Gumbel fit
294,-3.09,50,geheel jaar,Gumbel fit
294,-3.074,100,geheel jaar,Gumbel fit
298,-5.693,10,geheel jaar,gewogen gemiddelde
298,-5.73,10,alleen zomer,gewogen gemiddelde
298,-5.743,10,alleen zomer,Gumbel fit
298,-5.662,10,geheel jaar,Gumbel fit
298,-5.604,25,geheel jaar,Gumbel fit
298,-5.561,50,geheel jaar,Gumbel fit
298,-5.518,100,geheel jaar,Gumbel fit
541,-5.683,10,geheel jaar,gewogen gemiddelde
541,-5.719,10,alleen zomer,gewogen gemiddelde
541,-5.733,10,alleen zomer,Gumbel fit
541,-5.653,10,geheel jaar,Gumbel fit
541,-5.597,25,geheel jaar,Gumbel fit
541,-5.554,50,geheel jaar,Gumbel fit
541,-5.512,100,geheel jaar,Gumbel fit
310,-5.672,10,geheel jaar,gewogen gemiddelde
310,-5.707,10,alleen zomer,gewogen gemiddelde
310,-5.72,10,alleen zomer,Gumbel fit
310,-5.644,10,geheel jaar,Gumbel fit
310,-5.589,25,geheel jaar,Gumbel fit
310,-5.548,50,geheel jaar,Gumbel fit
310,-5.507,100,geheel jaar,Gumbel fit
CFBerg_IV_u,-5.238,10,geheel jaar,gewogen gemiddelde
CFBerg_IV_u,-5.246,10,alleen zomer,gewogen gemiddelde
CFBerg_IV_u,-5.249,10,alleen zomer,Gumbel fit
CFBerg_IV_u,-5.229,10,geheel jaar,Gumbel fit
CFBerg_IV_u,-5.207,25,geheel jaar,Gumbel fit
